"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE986201203863";"1410009";"In Betrieb";"Wind";"4200";"4200";"11/12/2018";"3/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur 34; Flurstück 92/1";"03454033";"52,914695";"7,674876";"";"";"Energiepark Hümmling";"129";"141";"ENERCON GmbH";"E-141 EP4";"";"";"Horizontalläufer";"Windkraft an Land";"6/25/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE951726785439";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG960286676262";"";"11/12/2018";"4200";"WIN18-1/131,";"";"";"";""
"SEE994764646980";"827331";"In Betrieb";"Wind";"2300";"2300";"12/13/2018";"3/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur 34; Flurstück 84/1";"03454033";"52,918466";"7,675178";"";"";"Energiepark Hümmling";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"6/25/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE954590321253";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG945233857413";"";"12/13/2018";"2300";"WIN18-1/132,";"";"";"";""
"SEE902559765792";"1410007";"In Betrieb";"Wind";"4200";"4200";"6/30/2017";"5/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur 37: 61/1, 65/1";"03454033";"52,909796";"7,665842";"";"";"Windpark Glümmel";"129";"141";"ENERCON GmbH";"E-141 EP4";"";"";"Horizontalläufer";"Windkraft an Land";"6/9/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE906522444516";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG905771893496";"E2187801EA01000000000089500100001";"6/30/2017";"4200";"";"";"";"";""
"SEE986231404865";"1410008";"In Betrieb";"Wind";"4200";"4200";"8/29/2017";"5/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur37: 111";"03454033";"52,910442";"7,672459";"";"";"Windpark Glümmel";"129";"141";"ENERCON GmbH";"E-141 EP4";"";"";"Horizontalläufer";"Windkraft an Land";"6/9/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE906522444516";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG910884344841";"E2187801EA01000000000089500100002";"8/29/2017";"4200";"";"";"";"";""
"SEE985487424436";"1410010";"In Betrieb";"Wind";"4200";"4200";"9/29/2017";"5/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur38: 23/2";"03454033";"52,917719";"7,680997";"";"";"Windpark Glümmel";"129";"141";"ENERCON GmbH";"E-141 EP4";"";"";"Horizontalläufer";"Windkraft an Land";"6/9/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE906522444516";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG924200353073";"E2187801EA01000000000089500100003";"9/29/2017";"4200";"";"";"";"";""
"SEE999010941680";"1150904";"In Betrieb";"Wind";"3000";"3000";"12/11/2017";"5/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur4: 275";"03454033";"52,970778";"7,647924";"";"";"Windpark Mammoor";"149";"115,71";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"6/9/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE921332897369";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG990523993647";"E2187801EA01000000000089500100006";"12/11/2017";"3000";"";"";"";"";""
"SEE906282676394";"1150905";"In Betrieb";"Wind";"3000";"3000";"12/29/2017";"5/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur4: 39";"03454033";"52,967697";"7,650506";"";"";"Windpark Mammoor";"149";"115,71";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"6/9/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE921332897369";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG955190396894";"E2187801EA01000000000089500100007";"12/29/2017";"3000";"";"";"";"";""
"SEE903297060699";"1150906";"In Betrieb";"Wind";"3000";"3000";"12/29/2017";"5/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur4: 240/72, 73";"03454033";"52,964951";"7,653029";"";"";"Windpark Mammoor";"149";"115,71";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"6/9/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE921332897369";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG998619989741";"E2187801EA01000000000089500100008";"12/29/2017";"3000";"";"";"";"";""
"SEE986686369641";"1150907";"In Betrieb";"Wind";"3000";"3000";"12/20/2017";"5/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur 5: 29/11";"03454033";"52,972745";"7,669394";"";"";"Windpark Mammoor";"149";"115,71";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"6/9/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE921332897369";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG931650574927";"E2187801EA01000000000089500100009";"12/20/2017";"3000";"";"";"";"";""
"SEE939001133267";"1410052";"In Betrieb";"Wind";"4200";"4200";"2/9/2018";"5/7/2019";"Niedersachsen";"26901";"Lorup";"";"";"Lorup";"Flur 25: 40/3";"03454033";"52,915049";"7,583776";"";"";"Windpark Haßmoor";"159";"141";"ENERCON GmbH";"E-141 EP4";"";"";"Horizontalläufer";"Windkraft an Land";"6/9/2021";"";"";"Energiepark Hümmling GmbH & Co. KG";"ABR949777429099";"Volleinspeisung";"SGE923531855751";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL988714478677";"EEG932562927979";"E2187801EA01000000000089500100010";"2/9/2018";"4200";"";"";"";"";""
